출발,관계,도착,메모
윤두서,관련,심사정,
윤두서,관련,정선,
심사정,관련,정선,
최북,관련,윤제홍,
김정희,영향,조희룡,여항 문인화에 미친 영향
정선,관련,김홍도,
이인문,관련,김홍도,
오상고절,대비,홍매대련,
풍설야귀인도,대비,송하관수도,
어락도,대비,백악춘효도,
영모화,대비,화조화,새·짐승 ↔ 꽃과 새
기록화,관련,의궤,
어진,관련,도화서,
세화,관련,십장생,
문자도,관련,책가도,
일필론,관련,일기론,
동국진체,대비,추사체,우리 고유의 활달함 ↔ 예서 필의의 파격
이광사,대비,김정희,동국진체 ↔ 추사체
법첩,관련,임모,
현완법,관련,쌍구법,
안평대군,관련,안견,
화각공예,대비,나전칠기,쇠뿔 반투명 채색 ↔ 자개와 옻칠
백골,관련,나전칠기,
사방탁자,관련,반닫이,
사리장엄구,관련,무구정광대다라니경,
수월관음도,상위,탱화,
괘불,상위,탱화,야외 법회용 대형 탱화
승탑,관련,석등,
적석목곽분,대비,석실봉토분,벽면 없음(벽화 불가) ↔ 벽면 있음(벽화 가능)
화엄사 사사자 삼층석탑,관련,다보탑,
무구정광대다라니경,관련,불국사 삼층석탑,
상형청자,관련,순청자,
회회청,관련,백자 청화,
주심포 양식,대비,익공 양식,기둥 위 공포 ↔ 새 날개 모양 부재
익공 양식,관련,다포 양식,
조석진,관련,안중식,
서화미술회,계보,서화협회,1911 → 1918
이상범,대비,변관식,잔 붓질의 향토 실경 ↔ 적묵과 파격 구도
실험미술,대비,단색화,제도와 형식에 도전 ↔ 물성과 반복에 침잠
색상환,관련,색입체,
병치혼합,상위,중간혼합,
색상대비,관련,보색대비,
명도대비,관련,채도대비,
색의 진출과 후퇴,관련,색의 팽창과 수축,
푸르킨예 현상,관련,색의 항상성,
문·스펜서 색채조화론,대비,이텐의 색채조화론,색입체 수치화 ↔ 색상환 기하 배치
슈브뢸,관련,루드,
오방색,관련,단청,
반전 도형,상위,도형과 바탕,도형과 바탕이 뒤바뀌는 특수한 경우
그리드,관련,레이아웃,
시각적 위계,관련,레이아웃,
UI 디자인,상위,UX 디자인,경험 전체 ⊃ 화면과 조작
페르소나,계보,프로토타이핑,사용자 정의 → 시제품 검증
힉의 법칙,대비,피츠의 법칙,선택지 수 ↔ 목표의 크기와 거리
공공디자인,관련,유니버설 디자인,
환경디자인,관련,공공디자인,
패키지 디자인,관련,브랜드 이미지 통합,
데 스틸,관련,러시아 구성주의,
지속가능 디자인,관련,적정기술,
아이소타이프,계보,픽토그램,그림 통계 → 오늘날의 그림 기호
비디오 아트,상위,미디어 아트,
브루스 나우만,관련,빌 비올라,
프로젝션 매핑,관련,미디어 파사드,
증강현실,대비,가상현실,현실에 겹침 ↔ 완전한 인공 공간
인터랙티브 아트,상위,미디어 아트,
퍼포먼스 아트,관련,해프닝,
해프닝,관련,플럭서스,
키네틱 아트,대표작가,장 팅겔리,
오브제,관련,레디메이드,
장소특정적 미술,관련,제도 비판,
마이클 애셔,관련,고든 마타클락,
도큐멘테이션,관련,장소특정적 미술,
조셉 보이스,주장,사회적 조각,
회화주의 사진,기법,조합 인화,여러 네거티브를 겹쳐 인화
총론 핵심역량,상위,2022 개정 교육과정 총론,
총론 핵심역량,관련,2022 개정 미술과 교과 역량,
미술과 매체,관련,미술 창작,
일반 선택 과목,관련,진로 선택 과목,
진로 선택 과목,관련,융합 선택 과목,
깊이 있는 학습,관련,학습자 주도성,
교과 간 연계·통합,관련,융합인재교육,
삶과 연계한 학습,관련,깊이 있는 학습,
학습 과정에 대한 성찰,관련,자기 평가,
교수·학습 방향,관련,평가 방향,
학교자율시간,관련,자유학기제,
고교학점제,관련,진로 선택 과목,
제7차 미술과 교육과정,관련,필수 학습 요소,
2015 개정 미술과 교육과정,관련,2022 개정 미술과 교과 역량,
학습을 위한 평가,관련,과정 중심 평가,
참평가,관련,수행평가,
신뢰도,관련,객관도,
후광 효과,대비,집중 경향의 오류,전반 인상이 번짐 ↔ 중간으로 몰림
정의적 영역 평가,관련,교육적 감식안,
논술형 평가,관련,감상 보고서 평가,
펜티멘토,관련,목탄,
은필,대비,목탄,가늘고 수정 불가 ↔ 넓은 면과 문지르기
콩테,관련,목탄,
파스텔,관련,콩테,
안료,관련,미디엄,
팻 오버 린,관련,안료,
젯소,관련,캔버스,
바니시,관련,캔버스,
수채화,대비,과슈,투명 ↔ 불투명
아크릴화,관련,수채화,
콜라그래프,관련,목판화,
에디션,관련,B.A.T.,
사이징,관련,B.A.T.,
엠보싱,관련,콜라그래프,
카빙,대비,소조,깎아 냄 ↔ 붙여 나감
슬립,관련,꼬막 밀기,
초벌구이,계보,재벌구이,
유약,관련,재벌구이,
물레성형,관련,코일링,
코일링,관련,판성형,
석고 뜨기,관련,실납법,
브론즈 주조,관련,실납법,
아교포수,관련,배채법,
아교포수,계보,바림,바탕 처리 → 채색
호분,관련,아교포수,
미술공예운동,계보,독일공작연맹,수공예의 한계 → 기계 생산 수용
독일공작연맹,계보,바우하우스,규격화·산업과의 결합
전형 양식,계보,이형 석탑,정형의 성립 → 정형에서의 이탈
니시키에,영향,인상주의,자포니슴 — 평면적 색면과 과감한 구도
윤두서,작품,유하백마도,
심사정,작품,오상고절,
조희룡,작품,홍매대련,
최북,작품,풍설야귀인도,
윤제홍,작품,송하관수도,
조석진,작품,어락도,
안중식,작품,백악춘효도,
정선,작품,인왕제색도,
정선,작품,금강전도,
김홍도,작품,씨름도,
신윤복,작품,단오풍정,
김정희,작품,세한도,
수월관음도,기법,배채법,비단 뒷면에서 채색해 앞으로 배어나게 함
금강전도,기법,미점법,왼쪽 토산
인왕제색도,기법,적묵법,비 갠 뒤 화강암 암벽의 양감
세한도,기법,갈필,메마르고 거친 필선
아이스너,주장,교육적 감식안,
김정희,주장,서권기 문자향,
부벽준,상위,준법,
피마준,상위,준법,
미점법,상위,준법,
우점준,상위,준법,
권운준,상위,준법,
절대준,상위,준법,
동일배색,상위,배색,
유사배색,상위,배색,
반대배색,상위,배색,
연속배색,상위,배색,
분리배색,상위,배색,
강조배색,상위,배색,
톤온톤 배색,상위,배색,
톤인톤 배색,상위,배색,
연속배색,대비,분리배색,점진적 연결 ↔ 사이를 끊어 분리
피마준,대비,부벽준,남종 부드러운 선 ↔ 북종 각진 면
김홍도,대비,신윤복,배경 생략·담채 ↔ 배경 묘사·원색
분청사기 상감 기법,상위,분청사기,
분청사기 인화 기법,상위,분청사기,
분청사기 박지 기법,상위,분청사기,
분청사기 귀얄 기법,상위,분청사기,
분청사기 조화 기법,상위,분청사기,
분청사기 덤벙 기법,상위,분청사기,
근접성의 원리,상위,게슈탈트 원리,
유사성의 원리,상위,게슈탈트 원리,
폐쇄성의 원리,상위,게슈탈트 원리,
연속성의 원리,상위,게슈탈트 원리,
도형과 바탕,상위,게슈탈트 원리,
프래그난츠의 법칙,상위,게슈탈트 원리,
분석적 루브릭,상위,루브릭,
총체적 루브릭,상위,루브릭,
체크리스트,상위,관찰법,
평정척도법,상위,관찰법,
일화기록법,상위,관찰법,
핵심 아이디어,상위,내용 체계,
지식·이해,상위,내용 체계,
과정·기능,상위,내용 체계,
가치·태도,상위,내용 체계,
미적 체험 영역,상위,2022 개정 미술과 교육과정,
표현 영역,상위,2022 개정 미술과 교육과정,
감상 영역,상위,2022 개정 미술과 교육과정,
2022 개정 미술과 교과 역량,상위,2022 개정 미술과 교육과정,
내용 체계,상위,2022 개정 미술과 교육과정,
성취기준 코드,상위,성취기준,
성취기준 해설,상위,성취기준,
성취기준 적용 시 고려 사항,상위,성취기준,
성취수준,상위,성취기준,
남종화,상위,남북종론,
북종화,상위,남북종론,
목판화,상위,볼록판화,
리놀륨 판화,상위,볼록판화,
니시키에,상위,볼록판화,
에칭,상위,오목판화,
드라이포인트,상위,오목판화,
아쿠아틴트,상위,오목판화,
메조틴트,상위,오목판화,
콜라그래프,상위,오목판화,
석판화,상위,평판화,
모노타이프,상위,평판화,
실크스크린,상위,공판화,
스텐실,상위,공판화,
모방론,상위,미학,
표현론,상위,미학,
형식주의,상위,미학,
제도론,상위,미학,
줄음질,상위,나전칠기,
끊음질,상위,나전칠기,
유선칠보,상위,칠보,
항마촉지인,상위,수인,
기운생동,상위,사혁 육법,
카빙,상위,조각,
시각적 문해력,상위,다중지능 이론,
미술 창작,상위,진로 선택 과목,
미술 감상과 비평,상위,진로 선택 과목,
미술과 매체,상위,융합 선택 과목,
몰골법,대비,구륵법,윤곽선 없이 면으로 ↔ 윤곽선 먼저 그리고 채색
진경산수화,대비,관념산수화,실경 답사 ↔ 화보에 기댄 이상 산수
남종화,대비,북종화,문인·수묵 ↔ 화원·채색
주심포 양식,대비,다포 양식,기둥 위에만 ↔ 기둥 사이에도 공포
가산혼합,대비,감산혼합,"빛, 섞을수록 밝아짐 ↔ 물감, 섞을수록 어두워짐"
